Accesion	Lineages	Sublineage 
AF333969.1	LineageIII	None
AY628206.1	LineageIII	None
AJ969409.1	LineageIII	None
AJ969408.1	LineageIII	None
AJ969405.1	LineageIII	None
X52400.1	LineageIII	None
PP079055.1	LineageIV	None
PP079054.1	LineageIV	None
PP079053.1	LineageIV	None
PP079052.1	LineageIV	None
PP079051.1	LineageIV	None
PP079050.1	LineageIV	None
PP079049.1	LineageIV	None
PP079048.1	LineageIV	None
PP079047.1	LineageIV	None
PP079046.1	LineageIV	None
PP079045.1	LineageIV	None
PP079043.1	LineageIV	None
PP079042.1	LineageIV	None
PP079041.1	LineageIV	None
PP079040.1	LineageIV	None
PP079039.1	LineageIV	None
PP079038.1	LineageIV	None
OR490734.1	LineageIV	None
OR490733.1	LineageIV	None
OR490732.1	LineageIV	None
OR490731.1	LineageIV	None
OR490730.1	LineageIV	None
OR490729.1	LineageIV	None
OR490728.1	LineageIV	None
OR490727.1	LineageIV	None
OR490726.1	LineageIV	None
OR490725.1	LineageIV	None
OR490724.1	LineageIV	None
OR490723.1	LineageIV	None
OR490722.1	LineageIV	None
OR490721.1	LineageIV	None
OR490720.1	LineageIV	None
OR490719.1	LineageIV	None
OR490718.1	LineageIV	None
OR490717.1	LineageIV	None
OR490716.1	LineageIV	None
OR490715.1	LineageIV	None
OR490714.1	LineageIV	None
OR490713.1	LineageIV	None
OR490712.1	LineageIV	None
OR490711.1	LineageIV	None
OR490710.1	LineageIV	None
OR490709.1	LineageIV	None
OR490708.1	LineageIV	None
OR490707.1	LineageIV	None
OR490706.1	LineageIV	None
OR490705.1	LineageIV	None
OR490704.1	LineageIV	None
OR490703.1	LineageIV	None
OR490702.1	LineageIV	None
OR490701.1	LineageIV	None
OR490700.1	LineageIV	None
OR490699.1	LineageIV	None
OR490698.1	LineageIV	None
OR490697.1	LineageIV	None
OR490696.1	LineageIV	None
OR490695.1	LineageIV	None
OR490694.1	LineageIV	None
OR490693.1	LineageIV	None
OR490692.1	LineageIV	None
OR490691.1	LineageIV	None
OR113007.1	LineageIV	None
OR113006.1	LineageIV	None
MW007355.1	LineageIV	None
MW007354.1	LineageIV	None
MW007353.1	LineageIV	None
MW007352.1	LineageIV	None
MW007351.1	LineageIV	None
MW776599.1	LineageIV	None
MW776598.1	LineageIV	None
MW776597.1	LineageIV	None
MW776596.1	LineageIV	None
KF926390.1	LineageIV	None
MT119640.1	LineageIV	None
MT119639.1	LineageIV	None
MT119638.1	LineageIV	None
MT119637.1	LineageIV	None
MT119636.1	LineageIV	None
MT119635.1	LineageIV	None
MT119634.1	LineageIV	None
MT119633.1	LineageIV	None
MT119632.1	LineageIV	None
MT119631.1	LineageIV	None
MT119630.1	LineageIV	None
MT119629.1	LineageIV	None
MT119628.1	LineageIV	None
MT119627.1	LineageIV	None
MT119626.1	LineageIV	None
MT119625.1	LineageIV	None
MT119624.1	LineageIV	None
MT119623.1	LineageIV	None
